Date,TS,Tmax,Tmin,T,WS,RH,SH,PS,SI
2/10/1994,21.34,28.97,13.66,20.53,5.72,61.46,9.25,100.48,58.1385193
2/11/1994,21.35,29.18,14.99,21.3,3.52,42.3,6.67,100.46,57.8854141
2/12/1994,21.14,29.59,12.34,20.78,2.23,32.15,4.89,100.58,80.8150406
2/13/1994,22.4,30.39,13.91,21.48,4.92,61.7,9.85,100.5,87.3291855
2/14/1994,22.85,29.12,16.21,21.67,3.18,52.27,8.42,100.66,87.2814636
2/15/1994,21.93,28.25,13.53,20.37,2.81,43.87,6.51,100.74,90.4140854
2/16/1994,22.93,29.2,14.3,21.23,2.05,51.14,8,100.89,87.2317047
2/17/1994,22.31,29,13.39,20.98,1.96,39.22,6.02,101.1,83.9814224
2/18/1994,21.61,29.22,13.02,20.75,3.09,28.23,4.27,101.03,82.5848389
2/19/1994,22.62,29.88,12.8,21.11,3.43,33.19,5.16,100.62,85.5523376
2/20/1994,20.32,25.06,13.22,19.45,8.25,40.1,5.64,100.3,87.3906479
2/21/1994,17.26,24.55,8.13,15.82,5.83,26.88,3,100.37,85.5807114
2/22/1994,17.56,26.66,8.86,16.92,4.72,16.85,2.01,100.6,
2/23/1994,18.63,28.52,9.02,18.66,2.63,17.67,2.35,100.82,89.948494
2/24/1994,20.11,30.37,10.96,20.53,2.05,15.79,2.35,100.98,93.3875122
2/25/1994,23.19,32.74,14.81,22.92,2.42,19.32,3.34,100.96,93.2500763
2/26/1994,24.9,33.8,15.65,24.04,5.6,48.52,9.02,100.69,63.6240845
2/27/1994,24.02,31.73,16.13,23.44,3.71,30.89,5.53,100.71,77.4852142
2/28/1994,22.65,32.01,14.34,22.1,3.63,17.49,2.87,100.97,88.64711
3/1/1994,22.79,32.41,13.76,22.82,2.59,15.45,2.65,100.96,99.0325089
3/2/1994,26.26,36.15,15.6,25.2,3.95,32.24,6.41,100.69,75.1557083
3/3/1994,26.58,34.91,16.29,25.1,4.29,41.86,8.29,100.62,91.8616638
3/4/1994,24.3,31.45,16.6,23.56,3.67,30.06,5.41,100.77,72.4478073
3/5/1994,23.34,31.72,16.19,23.48,2.63,16.7,2.99,100.77,93.5193787
3/6/1994,25.77,34.27,15.79,24.71,3.11,22.41,4.33,100.62,87.6687927
3/7/1994,25.41,33.73,16.86,24.85,3.11,30.08,5.86,100.59,97.5993652
3/8/1994,26.48,35.29,16.39,25.11,2.59,21.56,4.26,100.65,71.8821716
3/9/1994,28.24,36.99,16.67,26.49,3.39,32.83,7.05,100.63,92.2081604
3/10/1994,29.81,38.27,18.33,27.9,3,40.18,9.39,100.66,103.620682
3/11/1994,29.76,38.35,20.46,28.51,4.79,36.06,8.74,100.51,99.9563217
3/12/1994,29.35,38.08,19.22,28.06,4.5,32.49,7.67,100.46,105.730133
3/13/1994,29.35,38.46,20.47,28,5.8,41.12,9.69,100.39,108.511559
3/14/1994,29.43,36.45,20.14,28.16,3.86,51.28,12.22,100.35,105.523979
3/15/1994,29.57,37.36,22.34,28.41,4.16,46.14,11.15,100.37,109.379829
3/16/1994,30.88,38.64,20.29,29.44,2.49,37.44,9.58,100.51,94.3513641
3/17/1994,32.22,39.96,21.75,30.57,2.37,24.88,6.77,100.58,107.027817
3/18/1994,31.79,40.2,22.14,30.93,3.37,20.09,5.58,100.54,111.685738
3/19/1994,31.79,40.34,22.65,30.45,5.21,29.26,7.94,100.29,112.447403
3/20/1994,27.67,36.31,18.86,26.87,3.2,18.11,3.99,100.25,112.926201
3/21/1994,26.99,35.98,16.56,25.8,3.78,13.81,2.85,100.23,111.207878
3/22/1994,29.44,38.66,17.59,27.63,4.06,29.83,6.87,100.33,116.58007
3/23/1994,31.34,40.29,19.92,29.49,4.56,35.98,9.24,100.4,115.09333
3/24/1994,31.21,40.54,20.91,29.59,6.09,40.64,10.51,100.36,117.996529
3/25/1994,32.28,40.03,21.59,30.25,4.54,36.25,9.74,100.24,111.078232
3/26/1994,31.85,39.43,20.79,29.96,3.64,23.8,6.26,100.47,
3/27/1994,32.62,40.1,23.76,31.08,4.71,33.33,9.37,100.44,114.080177
3/28/1994,33.18,41.5,23.86,31.42,5.8,35.65,10.24,100.36,114.672256
3/29/1994,31.49,39.87,22.51,29.98,6.36,41.4,10.95,100.37,115.835693
3/30/1994,29.95,37.76,22,28.53,6.39,40.99,9.96,100.48,117.110054
3/31/1994,30.43,37.82,20.44,28.39,4.95,39.75,9.57,100.48,117.704689
4/1/1994,31.27,39.51,20.69,29.31,5.27,38.16,9.72,100.17,123.660385
4/2/1994,32.52,40.8,20.84,29.86,4.05,40.08,10.57,99.95,124.202393
4/3/1994,30.54,38.63,21.71,28.85,7.05,49.9,12.43,99.97,125.4198
4/4/1994,28.73,34.15,22.78,27.61,7.14,60.32,13.97,100.14,126.705688
4/5/1994,30.82,36.14,23.25,28.9,4.34,48.11,11.96,100.36,125.283165
4/6/1994,24.11,29.61,19.56,23.96,6.18,7.52,1.38,100.69,121.780083
4/7/1994,24.62,33.41,13.85,23.93,2.42,8.06,1.48,100.55,117.203178
4/8/1994,26.25,34.73,15.38,25.38,1.74,10.91,2.19,100.4,117.899948
4/9/1994,27.82,36.79,16.15,26.26,4.29,22.12,4.7,100.26,120.040436
4/10/1994,29.89,38.16,18.9,28.17,3.87,27.75,6.6,100.28,117.45369
4/11/1994,32.1,39.08,21.05,29.65,3.71,26.74,6.94,100.13,121.222969
4/12/1994,32.07,38.81,21,29.59,4.6,40.71,10.55,100.13,121.506737
4/13/1994,28.35,34.43,21.24,27.14,3.12,45.71,10.24,100.48,124.793106
4/14/1994,30.19,36,22.62,28.58,4.63,37.86,9.2,100.67,123.124077
4/15/1994,32.87,37.9,21.98,29.93,2.58,35.81,9.42,100.58,125.011368
4/16/1994,31.2,36.94,22.26,29.41,4.18,23.93,6.09,100.63,123.507492
4/17/1994,32.1,38.74,20.67,29.83,2.44,16,4.18,100.4,118.721512
4/18/1994,31.76,38.5,23.16,30.09,7.51,42.08,11.24,100.01,120.129532
4/19/1994,32.72,39.95,24.48,31.06,7.92,43.12,12.21,99.83,119.155205
4/20/1994,31.93,38.14,24.24,30.46,5.51,46.47,12.71,99.85,117.907127
4/21/1994,32.59,39.19,23.5,30.92,5.4,36.38,10.2,99.86,107.500412
4/22/1994,33.28,40.62,22.63,31.04,4.97,30.92,8.72,99.83,107.348679
4/23/1994,32.5,40.17,22.49,30.61,4.52,37.02,10.19,99.93,121.785904
4/24/1994,33.73,41.06,23.26,31.27,4,37.51,10.71,100.04,122.520416
4/25/1994,34.02,42.95,23.14,31.86,6.32,36.85,10.9,99.88,122.84761
4/26/1994,34.62,43.48,24.17,32.33,6.68,41.78,12.72,99.72,120.236023
4/27/1994,34.2,42.44,23.78,32.07,6.33,43.65,13.07,99.93,
4/28/1994,34.88,43.65,23.96,32.78,6.25,38.23,11.91,99.97,117.275414
4/29/1994,34.09,42.99,24.14,32.43,7.69,38.87,11.89,99.81,123.013229
4/30/1994,36.47,43.68,24.82,33.87,4.8,33.5,11.12,99.62,123.396805
5/1/1994,34.97,42.42,24.31,32.66,5.41,38.48,11.93,99.7,125.503334
5/2/1994,32.12,38.66,24.87,30.6,6.91,48.45,13.34,100.02,126.557861
5/3/1994,33.04,40.13,23.69,31.17,7.18,46.52,13.22,100.07,122.778343
5/4/1994,33.19,39.71,24.08,31.17,7.64,48.79,13.86,100.2,123.265694
5/5/1994,34.36,42.32,24.62,32.21,7.39,46.6,14.07,99.99,129.312958
5/6/1994,33.91,40.6,25.5,31.89,8.3,53.29,15.82,99.96,133.270782
5/7/1994,34.24,40.85,26.02,32.3,8.57,54.34,16.52,99.94,131.217896
5/8/1994,37.59,44.07,26.72,34.79,5.81,37.48,13.08,99.86,130.023895
5/9/1994,37.04,44.51,26.32,34.92,5.24,22.89,8.03,99.72,127.973785
5/10/1994,36.45,43.83,23.8,33.73,3.73,25.75,8.46,99.67,129.764511
5/11/1994,35.94,43.74,24.08,33.5,5.49,35.49,11.54,99.7,130.23085
5/12/1994,33.72,39.91,25.53,31.88,7.32,43.32,12.85,99.83,127.133278
5/13/1994,35.25,41,24.17,32.49,4.38,34.44,10.53,100.14,129.578156
5/14/1994,36.3,42.49,24.42,33.4,4.7,33.62,10.8,100.31,128.316589
5/15/1994,36.69,44.83,25.24,34.34,6.4,31.94,10.84,99.97,131.57106
5/16/1994,37.38,45.84,25.26,34.73,6.51,36.25,12.63,99.67,130.403564
5/17/1994,37.86,46.79,26.16,35.21,6.55,38.31,13.72,99.62,131.725235
5/18/1994,37.82,46.46,26.38,34.93,6.68,42.1,14.87,99.55,131.282349
5/19/1994,37.49,46.18,27.1,35.23,7.67,39.99,14.36,99.57,129.789185
5/20/1994,37.43,46.02,26.34,35.22,7.2,39.74,14.23,99.75,130.115067
5/21/1994,38.01,47,27.12,36.14,8.27,31.48,11.82,99.85,130.461823
5/22/1994,37.72,46.67,26.7,35.45,7.75,31.9,11.56,99.71,131.752289
5/23/1994,35.46,42.59,25.68,33.25,8.63,44.35,14.27,99.5,127.275215
5/24/1994,37.8,46.17,26.08,34.86,6.25,40.42,14.24,99.38,129.566742
5/25/1994,38.67,46.13,26.09,35.47,4.24,32.03,11.64,99.5,127.917564
5/26/1994,38.28,45.22,25.68,35.21,4.78,36.17,12.96,99.51,124.324677
5/27/1994,37.73,45.08,26.92,35.24,6.13,39.22,14.09,99.5,113.829323
5/28/1994,37,45.15,26.66,34.86,7.35,40.28,14.17,99.49,116.884987
5/29/1994,36.63,44.36,26.16,34.85,8.4,36.64,12.87,99.52,
5/30/1994,36.94,44.6,26.61,34.98,8.52,39.54,14.02,99.39,128.541977
5/31/1994,37.79,46.01,27.3,35.37,7.6,40.16,14.57,99.24,132.696686
6/1/1994,37.18,45.81,27.57,35.16,8.63,39.87,14.32,99.08,130.569885
6/2/1994,36.7,44.77,26.68,34.6,8.43,38.88,13.54,99.07,130.130646
6/3/1994,36.44,43.72,26.54,33.92,7.86,47.47,15.95,99,130.389099
6/4/1994,38,44.9,27.56,35.11,5.96,43.49,15.63,98.87,130.3582
6/5/1994,39.67,45.34,27.66,36.26,3.7,36.43,13.9,99.03,132.019806
6/6/1994,41.38,48.09,28.73,38.75,3.83,24.71,10.79,98.93,127.297234
6/7/1994,39.25,42.94,30.07,36.63,5.87,40.67,15.86,99.03,127.79068
6/8/1994,38.08,42.27,29.51,34.89,6.9,47.59,16.84,99.28,126.194489
6/9/1994,36.58,40.86,29.01,33.69,8.14,50.29,16.63,99.34,129.493042
6/10/1994,35.53,39.73,28.43,33.07,9.46,51.41,16.45,99.15,128.5923
6/11/1994,36.11,41.02,28.43,33.61,8.18,46.18,15.24,99.05,128.989731
6/12/1994,38.22,41.32,28.1,34.53,4.51,44.88,15.57,99.18,114.505829
6/13/1994,39.94,42.42,29.83,36.44,3.32,35.54,13.68,99.17,126.763039
6/14/1994,40.12,43.41,30.6,37.17,3.14,30.39,12.16,99.22,129.807541
6/15/1994,41.24,44.47,30.58,37.49,3.7,26.98,11,98.97,129.679123
6/16/1994,38.54,44.16,28.32,35.36,6.62,45.26,16.48,98.96,131.45285
6/17/1994,38.07,44.57,28.15,35.22,7.65,43.33,15.61,99.16,130.857697
6/18/1994,35.99,42.19,27.3,33.46,8.79,50.35,16.48,99.09,131.463699
6/19/1994,35.89,41.12,27.3,33.18,8.26,49.09,15.83,99.01,132.091934
6/20/1994,36.48,41.18,28.27,33.73,7.6,47.88,15.91,99.09,127.946442
6/21/1994,36.85,41.24,28.53,33.9,6.83,52.12,17.5,99.04,131.242157
6/22/1994,37.68,41.85,28.74,34.24,6.05,53.4,18.29,98.99,133.733902
6/23/1994,38.78,42.28,28.57,34.72,4.9,49.39,17.36,99.06,132.170364
6/24/1994,37.81,42.35,28.64,34.56,6.41,50.02,17.42,99.05,126.333893
6/25/1994,36.85,41.08,28.43,33.76,6.83,50.74,16.9,99.03,128.106155
6/26/1994,36.3,40.74,28.5,33.56,7.56,52.63,17.36,98.89,125.702644
6/27/1994,37.17,41.88,28.35,34.16,6.72,49.91,17.05,98.73,122.793976
6/28/1994,38.65,41.69,28.71,34.6,3.86,47.7,16.68,98.79,123.560936
6/29/1994,39.12,43.23,28.02,35.24,5.05,45.78,16.58,98.88,124.578423
6/30/1994,34.99,36.83,29.44,32.99,4.74,56.28,17.97,99.02,
7/1/1994,37.96,40.83,28.79,34.44,3.81,50.08,17.36,98.87,125.586472
7/2/1994,35.47,37.36,29.21,32.67,4.8,57.87,18.15,99.06,128.007553
7/3/1994,35.94,39.02,28.33,32.68,4.74,57.18,17.91,99.2,122.653137
7/4/1994,36.74,40.07,28.01,33.51,4.03,49.59,16.25,99.23,123.328499
7/5/1994,36.2,38.22,28.76,33.38,3.09,58.3,19,99.21,123.06826
7/6/1994,33.31,35.9,28.3,31.37,6.61,68.04,19.8,99.26,125.496132
7/7/1994,33.43,36.31,27.39,31.44,8.87,63,18.39,99.26,129.828186
7/8/1994,33.07,36.88,27.85,31.43,9.83,66.4,19.42,99.09,127.633743
7/9/1994,33.89,37.81,28.04,31.94,10.19,63.26,19.05,99.06,128.84639
7/10/1994,32.32,35.85,28.04,31.11,8.8,69.35,19.94,99.01,127.635925
