YEAR,TS,Tmax,Tmin,T,WS,RH,SH,PS,SI
2/10/1994,19.82,29.68,9.72,19.14,3.2,38.63,5.34,100.14,59.07
2/11/1994,18.12,27.21,9.95,18.18,2.9,20.76,2.69,100.37,73.61
2/12/1994,18.23,28.27,7.44,17.31,3,14.24,1.74,100.48,
2/13/1994,21.05,30.1,12.17,20.46,3.28,37.13,5.56,100.25,61.21
2/14/1994,18.96,26.21,11.55,18.19,5,32.08,4.15,100.7,75.1
2/15/1994,20.17,27.15,11.24,19.07,2.09,32.06,4.39,100.69,78.24
2/16/1994,19.91,27.38,11.08,18.79,2.79,35.59,4.78,100.86,78.73
2/17/1994,20.07,27.57,11.67,19.25,2.13,36.24,4.99,101.09,68.19
2/18/1994,20.98,27.9,12.74,20.17,2.04,33.14,4.84,101.02,80.64
2/19/1994,20.49,28.27,12.19,19.92,3.46,33.39,4.82,100.52,
2/20/1994,17.75,23.83,10.83,17.07,4.5,42.17,5.13,99.87,81.49
2/21/1994,14.79,23.29,7.06,14.32,3.96,32.01,3.26,100.05,80.45
2/22/1994,15.22,24.52,5.39,14.53,3.41,30.88,3.17,100.57,45.63
2/23/1994,17.01,26.81,7.24,16.38,2.79,28.53,3.29,100.76,73.96
2/24/1994,18.45,28.96,9.47,18.49,2.58,19.97,2.63,100.93,85.71
2/25/1994,21.32,31.71,13,21.39,3.41,19.35,3.05,100.81,84.51
2/26/1994,23.57,32.32,14.07,22.85,2.99,29.25,5.06,100.49,
2/27/1994,20.96,29.44,12.33,20.54,3.73,21.41,3.21,100.67,86.51
2/28/1994,20.2,30.64,9.91,20.29,2.23,16.73,2.46,100.91,
3/1/1994,20.69,30.78,13.02,21.94,1.97,14.88,2.42,100.84,91.43
3/2/1994,25.45,35.72,16.47,25.3,3.03,17.57,3.52,100.46,91.39
3/3/1994,25.4,32.11,18.11,24.77,3.52,24.78,4.81,100.44,93.76
3/4/1994,22.51,30.27,14.52,21.84,3.78,21.76,3.53,100.71,88.85
3/5/1994,23.18,32.31,12.89,22.9,1.78,18.42,3.19,100.69,
3/6/1994,22.53,32.46,15.62,24.23,1.84,14.39,2.7,100.5,92.1
3/7/1994,23.07,33.84,13.13,23.3,3.04,12.09,2.14,100.47,
3/8/1994,23.03,33.86,14.77,23.43,2.55,10.8,1.93,100.55,88.24
3/9/1994,25.76,36.8,15.84,25.84,2.6,15.75,3.26,100.44,85.24
3/10/1994,28.66,37.94,18.28,28.37,1.21,20.33,4.88,100.5,93.59
3/11/1994,28.56,37.59,20.51,28.26,2.34,20.04,4.79,100.27,84.16
3/12/1994,28.4,37.13,19.83,28,2.64,21.26,5,100.27,95.36
3/13/1994,29.95,38.95,21.56,29.41,2.33,19.74,5.05,100.12,97.1
3/14/1994,29.91,37.2,23.61,29.23,3.43,25.2,6.38,100.16,100.85
3/15/1994,29.56,36.89,21.99,28.37,2.08,16.52,3.97,100.26,100.18
3/16/1994,30.05,36.81,22.09,28.68,3.21,22.06,5.39,100.46,100.61
3/17/1994,30.38,38.4,20.41,29.09,2.84,22.74,5.69,100.51,102.73
3/18/1994,30.74,38.61,21.18,30.03,3.49,22.43,5.93,100.46,101.32
3/19/1994,31.07,38.01,22.51,29.68,4.39,25.03,6.5,100.16,100.99
3/20/1994,26.05,34.9,16.68,25.02,5.51,13.58,2.68,100.13,86.8
3/21/1994,25.37,34.37,14.48,24.9,2.74,15.4,3.02,100.1,78.1
3/22/1994,27.01,37.06,16.08,27.45,2.63,11.78,2.68,100.19,104.4
3/23/1994,29.63,39.71,18.56,29.64,2.23,12.15,3.14,100.19,
